Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
38.3979356,B,10.5411310,3.3537806e+03,9.4500775e+05,-2.6656835e-05,3.6284011e-04,7.1938294e-02,5.5097220e-02,4.6763464e-02
36.3720569,B,12.5670118,3.5571958e+03,2.4399625e+05,2.1675007e-05,3.7122479e-04,8.5848624e-02,2.4772186e-02,2.2391016e-02
32.7660751,B,16.1730094,3.5577782e+03,1.9519950e+05,6.8378523e-06,1.5568696e-04,3.3807681e-02,8.0155503e-03,7.2020558e-03
38.8871453,B,10.0519201,3.5044941e+03,5.9015125e+04,-2.4629552e-05,3.4642325e-04,7.7066962e-02,1.2502897e-02,1.3876570e-02
29.4965460,B,19.4425361,3.6272831e+03,4.8132812e+04,-7.6340785e-06,4.4247155e-05,1.1897861e-02,1.0836568e-02,1.5571390e-02
33.0894500,B,15.8496268,3.6060907e+03,3.8250438e+04,2.7287714e-06,-1.1131426e-05,1.1026133e-02,5.0589498e-03,1.1290218e-02
35.1625402,B,13.7765385,3.6654232e+03,3.3402562e+04,1.7119743e-05,-6.3761224e-05,1.4538212e-02,4.2845868e-03,7.3631951e-03
25.6496488,B,23.2894263,3.6377860e+03,2.5675141e+04,-1.9247635e-05,1.5741485e-04,3.2742366e-02,1.4113580e-02,1.2123041e-02
14.1809363,A,14.1809396,3.6463735e+03,1.5005922e+04,1.9304035e-06,-3.2358228e-05,8.8653456e-03,1.0671362e-02,1.7171787e-02
41.6747304,B,7.2643366,3.5570140e+03,1.7167938e+04,6.4776989e-06,-1.1407907e-04,2.8762397e-02,1.9196677e-02,1.7880198e-02
28.2250893,B,20.7140080,3.6036915e+03,1.4539375e+04,-1.4657803e-05,1.1760745e-04,3.0000351e-02,3.1140931e-02,3.5182692e-02
24.8053035,B,24.1337868,3.5367993e+03,1.5019547e+04,-1.3767616e-05,3.2006026e-05,8.4774000e-03,9.1346057e-03,2.1590685e-02
