modes,phase change (early/late),ln(amp) change (early/late),sigma ln(amp) (quarter),sigma phi (quarter),sigma phi (jackknife)
38.3979355966,-2.6430693e-05,3.6282271e-04,7.1934064e-02,5.5100121e-02,4.6766035e-02
36.3720568567,2.1934315e-05,3.7123443e-04,8.5851241e-02,2.4770407e-02,2.2387225e-02
32.7660750950,6.8322356e-06,1.5568689e-04,3.3807663e-02,8.0154797e-03,7.2020617e-03
38.8871452366,-2.4300423e-05,3.4642116e-04,7.7066049e-02,1.2504105e-02,1.3875781e-02
29.4965460302,-7.6520947e-06,4.4247373e-05,1.1897834e-02,1.0838248e-02,1.5571656e-02
33.0894500985,2.4122852e-06,-1.1133484e-05,1.1025898e-02,5.0689017e-03,1.1289063e-02
35.1625402773,1.6939607e-05,-6.3761385e-05,1.4538147e-02,4.2671203e-03,7.3608371e-03
25.6496488239,-1.9313302e-05,1.5741435e-04,3.2742204e-02,1.4112322e-02,1.2122815e-02
14.1809363570,1.8469022e-06,-3.2358310e-05,8.8652479e-03,1.0675104e-02,1.7172244e-02
41.6747303920,6.8141099e-06,-1.1407655e-04,2.8760038e-02,1.9174896e-02,1.7870996e-02
24.8418866169,9.5384174e-06,9.1620721e-05,3.6318067e-02,1.2819318e-02,1.5379158e-02
24.8053034012,-1.3349081e-05,3.2011656e-05,8.4775804e-03,9.1137025e-03,2.1584792e-02
