Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
38.3979357,B,10.5411308,3.3546209e+03,9.4478688e+05,-2.6754720e-05,3.6340000e-04,7.2087619e-02,5.5410527e-02,4.6931471e-02
29.7484152,B,19.1906699,3.5877107e+03,5.8602138e+05,2.3921644e-06,1.2307202e-05,2.6171441e-03,2.6491978e-03,2.1670530e-03
36.3720569,B,12.5670119,3.5567180e+03,2.4354888e+05,2.0659514e-05,3.7405369e-04,8.6437992e-02,2.4816208e-02,2.2194224e-02
32.7660759,B,16.1730084,3.5536780e+03,1.9501988e+05,4.6408048e-06,1.5661422e-04,3.4007232e-02,7.4104253e-03,7.3442749e-03
38.8871459,B,10.0519198,3.5032583e+03,5.9134876e+04,-2.4050310e-05,3.5143309e-04,7.7368356e-02,1.2411017e-02,1.3800408e-02
29.4965449,B,19.4425348,3.6102178e+03,4.9471439e+04,-2.6154191e-05,1.1428633e-04,2.2667486e-02,6.0272022e-03,2.1656641e-02
33.0894505,B,15.8496270,3.6142678e+03,3.8140814e+04,4.6868053e-06,-2.2913620e-05,1.3915802e-02,3.5814578e-03,1.1566039e-02
35.1625407,B,13.7765385,3.6651659e+03,3.3307814e+04,1.9463354e-05,-6.6650293e-05,1.5149736e-02,4.5402750e-03,8.8036036e-03
25.6496484,B,23.2894266,3.6404419e+03,2.5902407e+04,-2.1467124e-05,1.5585359e-04,3.1920716e-02,1.3339009e-02,1.1696778e-02
14.1809366,A,14.1809399,3.6543355e+03,1.5004732e+04,-9.6053459e-07,-3.5095157e-05,1.1141538e-02,7.2131346e-03,1.5107085e-02
41.6747282,B,7.2643394,3.5540037e+03,1.7256282e+04,7.0926884e-06,-1.0655070e-04,2.7953105e-02,1.9782315e-02,1.8637535e-02
28.2250890,B,20.7140067,3.6086606e+03,1.4769626e+04,-2.3044331e-05,1.4525293e-04,3.5588979e-02,3.1340314e-02,3.5419103e-02
