Modes,Regions,Mode in region A,Sharp,Delta chi2,Change of phase(2),Change of lnA(2),Sigma lnA(4),Sigma phi(4),Sigma phi(jack)
56.2683134,C,7.3293547,2.5586242e+03,4.1859558e+01,2.7974830e-04,-1.8616073e-04,1.8041641e-01,5.8887132e-02,8.6665825e-02
19.1624900,A,19.1624807,2.5576407e+03,3.8042488e+01,-2.6906717e-04,-1.3124406e-03,2.0430122e-01,1.8911368e-01,2.0013250e-01
35.6064393,B,13.3325260,2.7937274e+03,4.4262207e+01,3.6362782e-04,-9.5486344e-05,1.7944895e-01,1.7810815e-01,1.5760662e-01
24.1925775,A,24.1925664,2.2589418e+03,3.4203728e+01,1.4119886e-04,-4.7100195e-04,1.9812980e-01,4.5109327e-02,1.6423450e-01
39.8018432,B,9.1372379,3.0047195e+03,3.7050720e+01,-5.7568770e-05,-6.5626804e-04,1.2603746e-01,2.0093917e-01,2.2152356e-01
12.0271582,A,12.0271692,2.0285100e+03,3.1678675e+01,5.1445511e-04,-2.2309756e-04,3.3393198e-01,1.6447363e-01,1.9651309e-01
0.5653729,A,0.5653766,2.7050834e+03,2.9679553e+01,4.5064433e-04,1.3225833e-03,2.2196394e-01,2.3025434e-01,2.1502435e-01
11.8830332,A,11.8830367,2.3221200e+03,2.8249706e+01,1.4751112e-04,-3.7963825e-04,3.4912509e-01,8.2485076e-02,1.5985122e-01
10.6493794,A,10.6493749,2.6728576e+03,2.9670773e+01,5.0281945e-04,2.8795798e-06,1.0186644e-01,1.9516135e-01,1.7765149e-01
13.6616493,A,13.6616474,2.7435542e+03,2.9026108e+01,-2.4416852e-04,1.0241370e-03,1.6135114e-01,1.5134348e-01,1.4537635e-01
23.9406419,A,23.9406320,2.6433462e+03,3.0299850e+01,2.9632926e-04,2.1160097e-04,1.9352912e-01,1.0682641e-01,1.5252002e-01
3.1667265,A,3.1667232,2.7908709e+03,2.8313232e+01,7.2390541e-04,-8.6074262e-04,2.1556204e-01,1.4932912e-01,2.7583455e-01
27.7595320,B,21.1794556,2.4433455e+03,2.7495331e+01,-8.9959939e-04,-5.9669407e-04,1.9759712e-01,1.7261744e-01,3.3114484e-01
14.8478977,A,14.8478930,2.7116473e+03,2.8145481e+01,3.9926201e-04,-8.4923769e-04,1.5673958e-01,1.4306842e-01,1.1223788e-01
65.5555971,C,16.6167073,2.1561971e+03,3.4211426e+01,4.3290507e-04,-6.1401938e-04,9.7124261e-02,1.4969993e-01,1.1758175e-01
11.4976946,A,11.4977021,2.4254500e+03,2.9514399e+01,4.8459666e-06,-1.0615184e-03,2.1429781e-01,2.3470456e-01,2.5160436e-01
16.2153327,A,16.2153463,2.5449156e+03,2.6857723e+01,7.9562587e-04,1.0001298e-04,5.0088417e-02,2.6572827e-01,2.9322064e-01
57.3149110,C,8.3760194,2.2969124e+03,2.9256714e+01,-2.3792143e-05,-3.6374650e-04,1.8943563e-01,6.2847877e-02,1.4435974e-01
23.2986105,A,23.2986121,2.5805426e+03,2.6704239e+01,6.1520347e-04,4.3663688e-04,2.9951682e-01,2.0673926e-01,1.9569722e-01
20.9221013,A,20.9220974,2.5869549e+03,2.7517365e+01,-6.1133965e-04,-1.2722114e-03,3.0866866e-01,1.9335505e-01,1.9196570e-01
18.2074981,A,18.2075052,2.7659692e+03,2.8132118e+01,-6.4172019e-04,1.7441725e-04,9.2619821e-02,1.1514907e-01,2.0977250e-01
16.6013397,A,16.6013427,2.5068531e+03,2.8378586e+01,1.7466172e-04,3.9102069e-04,9.1567093e-02,7.8415482e-02,2.4507220e-01
8.9807249,A,8.9807147,2.6039426e+03,2.7163855e+01,7.9396143e-04,-4.6954727e-04,1.6464524e-01,2.0333227e-01,2.7072509e-01
15.0849797,A,15.0849623,2.7760329e+03,2.7550701e+01,-7.2033751e-04,-6.8497045e-04,1.4944661e-01,2.3101595e-01,1.9439628e-01
