Freqs,Regions,Freq in region A,Delta chi2,Sigma phi(4),Sigma phi(jack)
2.2083055,A,2.2082988,2.9228233e+08,7.7671996e-03,1.4063855e-02
4.4165837,A,4.4165752,1.8994617e+08,1.5840932e-02,2.2614787e-02
6.6248752,A,6.6248678,1.2774598e+08,8.5983758e-03,9.0872841e-03
2.1203030,A,2.1203095,8.3545388e+07,1.4993792e-02,1.9801048e-02
8.8331629,A,8.8331564,7.5585264e+07,1.2746735e-02,1.5924815e-02
11.0414451,A,11.0414379,3.3751892e+07,3.2295722e-02,3.8125484e-02
0.7916565,A,0.7916539,2.7129472e+07,7.7248043e-02,1.2748455e-01
0.7037629,A,0.7037629,2.6788926e+07,5.3788690e-02,7.5208172e-02
0.7476972,A,0.7477021,2.3584888e+07,7.5366520e-02,9.7582154e-02
0.8357232,A,0.8357350,2.1999777e+07,5.8411540e-02,1.4987194e-01
2.1643098,A,2.1643040,1.9760155e+07,6.4407463e-02,6.2827471e-02
0.9237467,A,0.9237408,1.9741927e+07,6.9911638e-02,1.5442492e-01
1.1042206,A,1.1042304,1.6369824e+07,1.2710929e-01,1.1061299e-01
0.5260010,A,0.5259933,1.4779842e+07,1.7347226e-01,1.4197732e-01
0.5152220,A,0.5152132,1.3199350e+07,2.2192160e-01,3.3593867e-01
0.6597469,A,0.6597512,1.3307399e+07,1.4801842e-01,1.6029680e-01
3.3124274,A,3.3124188,1.2490571e+07,3.4230209e-02,4.5504573e-02
13.2497448,A,13.2497435,1.2656156e+07,2.3910475e-02,5.3028753e-02
0.5365419,A,0.5365325,1.2053518e+07,1.7753647e-01,2.5235287e-01
0.6168154,A,0.6168226,1.0811522e+07,1.4752585e-01,1.5962137e-01
0.8796771,A,0.8796798,1.0992588e+07,1.0699845e-01,1.6764686e-01
5.5207247,A,5.5207150,1.0902710e+07,2.7386790e-02,4.4151990e-02
48.3884598,B,0.5500509,1.3822240e+07,1.0883568e-01,2.4654182e-01
0.6352094,A,0.6352181,1.0580961e+07,1.5429614e-01,3.1872553e-01
