modes,phase change (early/late),ln(amp) change (early/late),sigma ln(amp) (quarter),sigma phi (quarter),sigma phi (jackknife)
0.0831016293,-1.1634359e-04,1.1490689e-04,8.1313619e-02,1.7374892e-01,1.8161348e-01
0.0423939618,1.8253249e-04,1.5391083e-03,3.9274283e-01,9.7832637e-02,1.8373101e-01
0.0964410987,-7.4839330e-04,3.3769966e-04,1.0411594e-01,2.1622023e-01,2.4502224e-01
0.0541300284,3.7084313e-04,-5.3213276e-04,1.6285691e-01,1.8764090e-01,2.6295163e-01
49.0684696615,2.5967822e-04,9.1178067e-04,2.7531095e-01,1.5362946e-01,1.7460001e-01
48.9577367177,-1.1498859e-04,-5.6208293e-04,1.5797677e-01,1.0747582e-01,2.0933327e-01
48.9063206611,2.6131583e-04,6.5901802e-04,2.8192797e-01,1.5244296e-01,2.1193467e-01
48.8744482778,3.1327055e-04,-1.1757835e-04,5.8256657e-01,1.5010332e-01,3.0525103e-01
0.1193254050,6.4583922e-04,-1.5163671e-04,3.1976306e-01,1.6344875e-01,3.0468226e-01
0.0082919077,3.5935146e-04,-1.2010818e-04,1.2259052e-01,1.4921820e-01,1.3930453e-01
48.7670494641,-2.2509760e-04,5.7547401e-04,2.0267831e-01,1.8166444e-01,2.4453451e-01
49.1434314754,2.6890248e-04,5.5634812e-04,1.6728015e-01,6.1653096e-02,1.9913300e-01
