modes,phase change (early/late),ln(amp) change (early/late),sigma ln(amp) (quarter),sigma phi (quarter),sigma phi (jackknife)
15.2476164161,-1.1634359e-04,1.1490689e-04,6.1911499e-03,7.1870938e-02,5.6039489e-02
2.2349204761,1.8253249e-04,1.5391083e-03,1.8515019e+00,2.3097364e+00,1.8516485e+00
9.9006480897,-7.4839330e-04,3.3769966e-04,1.2937454e+00,1.2022442e+00,1.1299922e+00
1.3676877170,3.7084313e-04,-5.3213276e-04,4.7918764e-01,8.1305968e-01,6.3575640e-01
2.3564783079,2.5967822e-04,9.1178067e-04,5.5337636e-02,2.4755737e-01,1.9666911e-01
6.3433474278,-1.1498859e-04,-5.6208293e-04,1.7778983e-01,4.8005430e-01,3.7122799e-01
50.7702350376,2.6131583e-04,6.5901802e-04,6.1712738e-02,1.6151222e-01,2.6983820e-01
0.2212863311,3.1327055e-04,-1.1757835e-04,2.0022430e+00,1.6214559e+00,1.3136145e+00
4.4946081228,6.4583922e-04,-1.5163671e-04,1.1612596e+00,1.3684668e+00,1.2355878e+00
4.5592610494,3.5935146e-04,-1.2010818e-04,4.4238064e-01,8.6733328e-01,6.8825340e-01
45.5137717915,-2.2509760e-04,5.7547401e-04,3.7644466e-01,4.7179765e-01,3.8483765e-01
49.0097240701,2.6890248e-04,5.5634812e-04,3.2550205e-01,2.3845611e-01,2.0570539e-01
