modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
0.0108138275,A,0.01083,1.4114190e+03,1.3615633e+08,-1.4963830e-04,-2.6125061e-03
0.9638090147,A,0.96381,3.1063036e+03,9.1445542e+07,-2.6057866e-05,5.7348579e-04
0.0303175632,A,0.03033,2.2353233e+03,6.7466950e+07,-3.9714590e-04,-1.9682014e-03
0.0209292160,A,0.02091,1.4599610e+03,5.1959789e+07,1.7397708e-04,-2.6996726e-03
1.6080970667,A,1.60810,2.3087852e+03,3.5757892e+07,-4.0026914e-05,1.4853353e-03
48.8975333748,B,0.04124,1.1945735e+03,1.9241552e+07,-1.6632079e-04,-2.5785817e-03
48.9376608404,B,0.00041,1.8488446e+03,3.0975104e+07,1.0205923e-04,-2.5014243e-03
48.8778018445,B,0.06126,1.6281582e+03,1.1857856e+07,2.7986757e-04,-2.5897382e-03
0.1058098387,A,0.10582,2.0195231e+03,7.8917133e+06,-2.4336732e-04,-2.4609801e-03
1.5192961096,A,1.51930,1.6380693e+03,8.5121551e+06,3.3030267e-04,2.1133832e-03
1.7081492845,A,1.70816,2.5750831e+03,5.5261924e+06,-1.6166537e-04,-1.9471115e-03
1.5975297236,A,1.59753,2.2717246e+03,6.3307008e+06,1.3017807e-04,9.0654909e-04
